年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,12,9,木,しょうが,37200,愛　媛,038,450,670,,
2021,12,9,木,しょうが,37200,千　葉,012,346,578,,
2021,12,9,木,　　うち輸入,37201,,,5730,387,99.1,100.5
2021,12,9,木,生しいたけ,38100,,,101421,973,125.6,101.5
2021,12,9,木,生しいたけ,38100,徳　島,036,21919,915,,
2021,12,9,木,生しいたけ,38100,秋　田,005,14164,1148,,
2021,12,9,木,生しいたけ,38100,岩　手,003,8549,893,,
2021,12,9,木,生しいたけ,38100,千　葉,012,7239,1086,,
2021,12,9,木,生しいたけ,38100,長　崎,042,5092,1000,,
2021,12,9,木,　　うち輸入,38101,,,1184,562,99.7,92.3
2021,12,9,木,なめこ,38300,,,25683,450,92.1,99.8
2021,12,9,木,なめこ,38300,長　野,020,7644,440,,
2021,12,9,木,なめこ,38300,山　形,006,4979,454,,
2021,12,9,木,なめこ,38300,三　重,024,2201,509,,
2021,12,9,木,なめこ,38300,大　分,044,1965,493,,
2021,12,9,木,なめこ,38300,宮　城,004,1743,409,,
2021,12,9,木,えのきだけ,38400,,,192541,262,102.0,98.1
2021,12,9,木,えのきだけ,38400,長　野,020,120496,265,,
2021,12,9,木,えのきだけ,38400,新　潟,015,26119,250,,
2021,12,9,木,えのきだけ,38400,大　分,044,13046,241,,
2021,12,9,木,しめじ,38500,,,99747,469,96.3,97.9
2021,12,9,木,しめじ,38500,長　野,020,64901,440,,
2021,12,9,木,しめじ,38500,福　岡,040,15074,421,,
2021,12,9,木,その他の野菜,39000,,,269889,853,86.2,109.2
2021,12,9,木,輸入野菜計,39100,,,270861,284,99.9,97.9
2021,12,9,木,他の輸入野菜,39200,,,60121,483,86.5,105.5
