年,月,日,品目コード,品目名,価格
2021,11,27,35200,さやえんどう,1263
2021,11,29,35200,さやえんどう,1252
2021,11,30,35200,さやえんどう,1246
2021,11,22,35300,実えんどう,1485
2021,11,24,35300,実えんどう,1275
2021,11,25,35300,実えんどう,1116
2021,11,26,35300,実えんどう,1461
2021,11,27,35300,実えんどう,1213
2021,11,29,35300,実えんどう,1139
2021,11,30,35300,実えんどう,1119
2021,11,22,35500,えだまめ,1244
2021,11,24,35500,えだまめ,1333
2021,11,25,35500,えだまめ,1351
2021,11,26,35500,えだまめ,1391
2021,11,27,35500,えだまめ,1420
2021,11,29,35500,えだまめ,1411
2021,11,30,35500,えだまめ,1403
2021,11,22,36100,かんしょ,292
2021,11,24,36100,かんしょ,297
2021,11,25,36100,かんしょ,282
2021,11,26,36100,かんしょ,282
2021,11,27,36100,かんしょ,297
2021,11,29,36100,かんしょ,292
2021,11,30,36100,かんしょ,277
2021,11,22,36200,ばれいしょ,210
2021,11,24,36200,ばれいしょ,208
2021,11,25,36200,ばれいしょ,218
2021,11,26,36200,ばれいしょ,213
2021,11,27,36200,ばれいしょ,210
2021,11,29,36200,ばれいしょ,207
2021,11,30,36200,ばれいしょ,211
2021,11,22,36300,さといも,314
2021,11,24,36300,さといも,275
2021,11,25,36300,さといも,283
2021,11,26,36300,さといも,314
2021,11,27,36300,さといも,285
2021,11,29,36300,さといも,270
2021,11,30,36300,さといも,279
2021,11,22,36500,やまのいも,367
2021,11,24,36500,やまのいも,327
2021,11,25,36500,やまのいも,392
2021,11,26,36500,やまのいも,384
2021,11,27,36500,やまのいも,326
2021,11,29,36500,やまのいも,342
2021,11,30,36500,やまのいも,374
2021,11,22,36610,たまねぎ,178
2021,11,24,36610,たまねぎ,185
2021,11,25,36610,たまねぎ,188
2021,11,26,36610,たまねぎ,177
2021,11,27,36610,たまねぎ,186
2021,11,29,36610,たまねぎ,176
2021,11,30,36610,たまねぎ,182
2021,11,22,36700,にんにく,835
2021,11,24,36700,にんにく,756
2021,11,25,36700,にんにく,978
2021,11,26,36700,にんにく,693
2021,11,27,36700,にんにく,769
2021,11,29,36700,にんにく,761
2021,11,30,36700,にんにく,680
2021,11,22,37200,しょうが,643
2021,11,24,37200,しょうが,686
2021,11,25,37200,しょうが,674
2021,11,26,37200,しょうが,649
2021,11,27,37200,しょうが,676
2021,11,29,37200,しょうが,653
2021,11,30,37200,しょうが,674
2021,11,22,38100,生しいたけ,915
2021,11,24,38100,生しいたけ,905
2021,11,25,38100,生しいたけ,911
2021,11,26,38100,生しいたけ,937
2021,11,27,38100,生しいたけ,914
2021,11,29,38100,生しいたけ,938
2021,11,30,38100,生しいたけ,954
2021,11,22,38300,なめこ,508
2021,11,24,38300,なめこ,493
2021,11,25,38300,なめこ,501
2021,11,26,38300,なめこ,520
2021,11,27,38300,なめこ,498
2021,11,29,38300,なめこ,489
2021,11,30,38300,なめこ,492
2021,11,22,38400,えのきだけ,265
2021,11,24,38400,えのきだけ,261
2021,11,25,38400,えのきだけ,269
2021,11,26,38400,えのきだけ,263
2021,11,27,38400,えのきだけ,266
2021,11,29,38400,えのきだけ,265
2021,11,30,38400,えのきだけ,276
2021,11,22,38500,しめじ,495
2021,11,24,38500,しめじ,506
2021,11,25,38500,しめじ,517
2021,11,26,38500,しめじ,491
2021,11,27,38500,しめじ,489
2021,11,29,38500,しめじ,486
2021,11,30,38500,しめじ,515
2021,11,22,39000,その他の野菜,892
2021,11,24,39000,その他の野菜,935
2021,11,25,39000,その他の野菜,896
2021,11,26,39000,その他の野菜,903
2021,11,27,39000,その他の野菜,833
2021,11,29,39000,その他の野菜,921
2021,11,30,39000,その他の野菜,825
2021,11,22,39100,輸入野菜計,363
2021,11,24,39100,輸入野菜計,388
2021,11,25,39100,輸入野菜計,397
2021,11,26,39100,輸入野菜計,365
2021,11,27,39100,輸入野菜計,409
2021,11,29,39100,輸入野菜計,323
2021,11,30,39100,輸入野菜計,344
2021,11,22,39200,他の輸入野菜,678
2021,11,24,39200,他の輸入野菜,609
2021,11,25,39200,他の輸入野菜,708
2021,11,26,39200,他の輸入野菜,638
2021,11,27,39200,他の輸入野菜,575
2021,11,29,39200,他の輸入野菜,592
2021,11,30,39200,他の輸入野菜,551
2021,11,22,40000,果実総量,343
2021,11,24,40000,果実総量,373
2021,11,25,40000,果実総量,358
2021,11,26,40000,果実総量,334
2021,11,27,40000,果実総量,355
2021,11,29,40000,果実総量,350
2021,11,30,40000,果実総量,357
2021,11,22,40001,国産果実総量,379
2021,11,24,40001,国産果実総量,411
2021,11,25,40001,国産果実総量,386
2021,11,26,40001,国産果実総量,366
2021,11,27,40001,国産果実総量,386
2021,11,29,40001,国産果実総量,393
2021,11,30,40001,国産果実総量,406
2021,11,22,40100,みかん,261
2021,11,24,40100,みかん,263
2021,11,25,40100,みかん,267
2021,11,26,40100,みかん,250
2021,11,27,40100,みかん,258
2021,11,29,40100,みかん,251
2021,11,30,40100,みかん,256
2021,11,27,41201,ネーブル,888
2021,11,29,41201,ネーブル,446
2021,11,30,41201,ネーブル,793
2021,11,22,41999,その他雑かん,718
2021,11,24,41999,その他雑かん,630
2021,11,25,41999,その他雑かん,678
2021,11,26,41999,その他雑かん,734
2021,11,27,41999,その他雑かん,691
2021,11,29,41999,その他雑かん,647
2021,11,30,41999,その他雑かん,667
2021,11,22,42000,りんご計,404
2021,11,24,42000,りんご計,394
2021,11,25,42000,りんご計,407
2021,11,26,42000,りんご計,381
2021,11,27,42000,りんご計,395
2021,11,29,42000,りんご計,408
2021,11,30,42000,りんご計,395
2021,11,22,42204,つがる,311
2021,11,22,42505,ジョナゴルド,387
2021,11,24,42505,ジョナゴルド,428
2021,11,25,42505,ジョナゴルド,398
2021,11,26,42505,ジョナゴルド,387
2021,11,27,42505,ジョナゴルド,409
2021,11,29,42505,ジョナゴルド,412
2021,11,30,42505,ジョナゴルド,391
2021,11,22,42515,王林,343
2021,11,24,42515,王林,350
2021,11,25,42515,王林,352
2021,11,26,42515,王林,354
2021,11,27,42515,王林,322
2021,11,29,42515,王林,347
2021,11,30,42515,王林,382
2021,11,22,42804,ふじ,420
2021,11,24,42804,ふじ,407
2021,11,25,42804,ふじ,422
2021,11,26,42804,ふじ,394
2021,11,27,42804,ふじ,411
2021,11,29,42804,ふじ,418
2021,11,30,42804,ふじ,400
2021,11,22,42999,その他りんご,374
2021,11,24,42999,その他りんご,365
2021,11,25,42999,その他りんご,405
2021,11,26,42999,その他りんご,419
2021,11,27,42999,その他りんご,371
2021,11,29,42999,その他りんご,418
2021,11,30,42999,その他りんご,423
2021,11,22,43000,日本なし計,482
2021,11,24,43000,日本なし計,425
2021,11,25,43000,日本なし計,437
2021,11,26,43000,日本なし計,653
2021,11,27,43000,日本なし計,480
2021,11,29,43000,日本なし計,508
2021,11,30,43000,日本なし計,529
2021,11,29,43310,新高,578
2021,11,22,43401,その他なし,482
2021,11,24,43401,その他なし,425
2021,11,25,43401,その他なし,437
2021,11,26,43401,その他なし,653
2021,11,27,43401,その他なし,480
2021,11,29,43401,その他なし,508
2021,11,30,43401,その他なし,529
2021,11,22,43499,西洋なし,604
2021,11,24,43499,西洋なし,636
2021,11,25,43499,西洋なし,540
2021,11,26,43499,西洋なし,560
2021,11,27,43499,西洋なし,532
2021,11,29,43499,西洋なし,608
2021,11,30,43499,西洋なし,516
2021,11,22,43500,かき計,312
2021,11,24,43500,かき計,317
2021,11,25,43500,かき計,319
2021,11,26,43500,かき計,309
2021,11,27,43500,かき計,310
2021,11,29,43500,かき計,299
2021,11,30,43500,かき計,291
2021,11,22,43700,甘がき,325
2021,11,24,43700,甘がき,329
2021,11,25,43700,甘がき,322
2021,11,26,43700,甘がき,327
2021,11,27,43700,甘がき,316
2021,11,29,43700,甘がき,321
2021,11,30,43700,甘がき,295
2021,11,22,43751,渋がき,283
2021,11,24,43751,渋がき,272
2021,11,25,43751,渋がき,292
2021,11,26,43751,渋がき,263
2021,11,27,43751,渋がき,283
2021,11,29,43751,渋がき,249
2021,11,30,43751,渋がき,278
2021,11,22,44100,もも,4808
2021,11,24,44100,もも,3691
2021,11,25,44100,もも,3482
2021,11,27,44100,もも,3601
2021,11,29,44100,もも,1288
2021,11,30,44100,もも,2957
2021,11,22,45000,ぶどう計,2091
2021,11,24,45000,ぶどう計,2364
2021,11,25,45000,ぶどう計,2126
2021,11,26,45000,ぶどう計,2173
2021,11,27,45000,ぶどう計,2126
2021,11,29,45000,ぶどう計,2239
2021,11,30,45000,ぶどう計,2218
2021,11,22,45206,巨峰,1585
2021,11,24,45206,巨峰,1735
2021,11,25,45206,巨峰,1649
2021,11,26,45206,巨峰,1764
2021,11,27,45206,巨峰,1595
2021,11,29,45206,巨峰,1565
2021,11,30,45206,巨峰,1482
2021,11,22,45299,その他ぶどう,2150
2021,11,24,45299,その他ぶどう,2381
2021,11,25,45299,その他ぶどう,2128
2021,11,26,45299,その他ぶどう,2182
2021,11,27,45299,その他ぶどう,2154
2021,11,29,45299,その他ぶどう,2268
2021,11,30,45299,その他ぶどう,2222
2021,11,24,45700,くり,1030
2021,11,25,45700,くり,1350
2021,11,26,45700,くり,1757
2021,11,27,45700,くり,1738
2021,11,29,45700,くり,1286
2021,11,30,45700,くり,1632
2021,11,22,46100,いちご,2239
2021,11,24,46100,いちご,2121
2021,11,25,46100,いちご,2158
2021,11,26,46100,いちご,2126
2021,11,27,46100,いちご,2121
2021,11,29,46100,いちご,2106
2021,11,30,46100,いちご,2063
2021,11,22,47000,メロン計,663
2021,11,24,47000,メロン計,688
2021,11,25,47000,メロン計,721
2021,11,26,47000,メロン計,726
2021,11,27,47000,メロン計,768
2021,11,29,47000,メロン計,741
2021,11,30,47000,メロン計,868
2021,11,22,47200,温室メロン,741
2021,11,24,47200,温室メロン,731
2021,11,25,47200,温室メロン,787
2021,11,26,47200,温室メロン,788
2021,11,27,47200,温室メロン,826
2021,11,29,47200,温室メロン,813
2021,11,30,47200,温室メロン,903
