年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,30,火,スイトコーン,34700,,,878,373,44.4,106.6
2021,11,30,火,スイトコーン,34700,宮　崎,045,869,374,,
2021,11,30,火,さやいんげん,35100,,,12960,952,69.9,100.6
2021,11,30,火,さやいんげん,35100,鹿児島,046,6864,935,,
2021,11,30,火,さやいんげん,35100,沖　縄,047,2837,922,,
2021,11,30,火,さやいんげん,35100,高　知,039,1100,1171,,
2021,11,30,火,さやえんどう,35200,,,10069,1215,58.1,100.0
2021,11,30,火,さやえんどう,35200,鹿児島,046,5487,1247,,
2021,11,30,火,さやえんどう,35200,和歌山,030,2065,1025,,
2021,11,30,火,さやえんどう,35200,愛　知,023,918,1244,,
2021,11,30,火,　　うち輸入,35201,,,234,810,39.0,121.8
2021,11,30,火,実えんどう,35300,,,1454,1078,95.4,95.9
2021,11,30,火,実えんどう,35300,和歌山,030,810,1008,,
2021,11,30,火,実えんどう,35300,鹿児島,046,644,1165,,
2021,11,30,火,えだまめ,35500,,,534,1393,87.3,92.3
2021,11,30,火,えだまめ,35500,静　岡,022,410,1544,,
2021,11,30,火,えだまめ,35500,千　葉,012,124,895,,
2021,11,30,火,かんしょ,36100,,,354533,265,83.6,92.3
2021,11,30,火,かんしょ,36100,茨　城,008,135504,230,,
2021,11,30,火,かんしょ,36100,千　葉,012,121646,237,,
2021,11,30,火,かんしょ,36100,徳　島,036,50115,373,,
2021,11,30,火,ばれいしょ,36200,,,719184,180,95.5,87.4
2021,11,30,火,ばれいしょ,36200,北海道,001,680799,177,,
2021,11,30,火,さといも,36300,,,97459,294,95.0,98.3
2021,11,30,火,さといも,36300,埼　玉,011,28604,286,,
2021,11,30,火,さといも,36300,愛　媛,038,18749,254,,
2021,11,30,火,さといも,36300,新　潟,015,8170,296,,
2021,11,30,火,さといも,36300,大　分,044,5460,214,,
2021,11,30,火,さといも,36300,熊　本,043,5043,245,,
2021,11,30,火,やまのいも,36500,,,143279,319,68.3,102.6
2021,11,30,火,やまのいも,36500,北海道,001,79500,289,,
2021,11,30,火,やまのいも,36500,青　森,002,48454,309,,
2021,11,30,火,たまねぎ,36610,,,1287768,181,91.8,105.2
2021,11,30,火,たまねぎ,36610,北海道,001,1175128,182,,
2021,11,30,火,　　うち輸入,36620,,,47289,116,59.7,94.3
2021,11,30,火,にんにく,36700,,,19207,980,99.5,83.6
2021,11,30,火,にんにく,36700,青　森,002,8443,1784,,
2021,11,30,火,にんにく,36700,北海道,001,26,2295,,
2021,11,30,火,にんにく,36700,千　葉,012,25,1036,,
2021,11,30,火,にんにく,36700,京　都,026,6,346,,
2021,11,30,火,にんにく,36700,岩　手,003,5,3024,,
2021,11,30,火,　　うち輸入,36701,,,10691,339,122.5,86.5
2021,11,30,火,しょうが,37200,,,20187,649,82.4,102.4
2021,11,30,火,しょうが,37200,高　知,039,10279,793,,
2021,11,30,火,しょうが,37200,長　崎,042,1340,570,,
